word1,word2,pubtitle,authors,n
regan,james,The Sun (1837-),NA,1475
battery,james,The Sun (1837-),NA,817
johnson,assault,The Sun (1837-),NA,817
johnnie,jones,The Sun (1837-),NA,591
jones,theft,The Sun (1837-),NA,591
lady,luck,The Sun (1837-),NA,353
lady,ruth,The Sun (1837-),NA,353
owner,lady,The Sun (1837-),NA,353
cheltenham,school,The Sun (1837-),NA,277
highway,commission,The Sun (1837-),NA,263
ohio,river,The Sun (1837-),NA,263
grand,jury,The Sun (1837-),NA,230
training,school,The Sun (1837-),NA,212
colored,boys,The Sun (1837-),NA,203
ceiving,stolen,The Sun (1837-),NA,177
190,1001,The Sun (1837-),NA,174
ave,burglary,The Sun (1837-),NA,174
burglary,larceny,The Sun (1837-),NA,174
olney,ave,The Sun (1837-),NA,174
troise,190,The Sun (1837-),NA,174
11,joseph,The Sun (1837-),NA,173
oct,11,The Sun (1837-),NA,173
negro,boys,The Sun (1837-),NA,133
grand,jury,Afro-American (1893-),NA,105
phila,delphia,The Sun (1837-),NA,104
prince,george's,The Sun (1837-),NA,103
colored,race,The Sun (1837-),NA,101
maryland,training,The Sun (1837-),NA,98
delphia,ericsson,The Sun (1837-),NA,95
ericsson,capt,The Sun (1837-),NA,95
ericsson,line,The Sun (1837-),NA,95
line,ericsson,The Sun (1837-),NA,95
george's,county,The Sun (1837-),NA,86
proceedings,yesterday,The Sun (1837-),NA,86
judge,charles,The Sun (1837-),NA,85
baltimore,city,The Sun (1837-),NA,84
criminal,court,The Sun (1837-),NA,82
reform,school,Afro-American (1893-),NA,80
chelten,ham,The Sun (1837-),NA,79
governor,o'conor,The Sun (1837-),NA,77
feeble,minded,The Sun (1837-),NA,76
judge,moylan,The Sun (1837-),NA,72
juvenile,court,The Sun (1837-),NA,70
colored,house,The Sun (1837-),NA,68
chel,tenham,The Sun (1837-),NA,65
employment,commissioner,The Sun (1837-),NA,65
colored,boys,Afro-American (1893-),NA,64
institu,tion,The Sun (1837-),NA,64
st,mary's,The Sun (1837-),NA,64
juvenile,court,Afro-American (1893-),NA,62
public,welfare,The Sun (1837-),NA,60
circuit,court,The Sun (1837-),NA,59
merit,system,The Sun (1837-),NA,58
court,judge,The Sun (1837-),NA,57
yesterday,judge,The Sun (1837-),NA,55
afro,american,Afro-American (1893-),NA,53
insti,tution,The Sun (1837-),NA,53
governor,nice,The Sun (1837-),NA,51
city,council,The Sun (1837-),NA,50
governor,lane,The Sun (1837-),NA,50
cheltenham,board,The Sun (1837-),NA,48
colored,girls,The Sun (1837-),NA,48
mental,hygiene,The Sun (1837-),NA,46
cheltenham,school,Afro-American (1893-),NA,45
proceedings,saturday,The Sun (1837-),NA,45
training,schools,The Sun (1837-),NA,45
2,judge,The Sun (1837-),NA,42
special,dispatch,The Sun (1837-),NA,42
col,ored,Afro-American (1893-),NA,41
johns,hopkins,The Sun (1837-),NA,41
mary,land,The Sun (1837-),NA,41
judge,frank,The Sun (1837-),NA,40
yester,day,The Sun (1837-),NA,40
judge,ulman,The Sun (1837-),NA,39
negro,guilty,The Sun (1837-),NA,39
rev,dr,The Sun (1837-),NA,39
vice,president,The Sun (1837-),NA,39
judge,william,The Sun (1837-),NA,38
decree,signed,The Sun (1837-),NA,37
judge,joseph,The Sun (1837-),NA,37
chel,tenham,Afro-American (1893-),NA,36
col,ored,The Sun (1837-),NA,35
baltimore,sun,The Sun (1837-),NA,34
episcopal,church,The Sun (1837-),NA,34
judge,robert,The Sun (1837-),NA,34
post,war,The Sun (1837-),NA,34
cheltenham,prince,The Sun (1837-),NA,33
montrose,school,The Sun (1837-),NA,33
signed,divorcing,The Sun (1837-),NA,33
upper,marlboro,The Sun (1837-),NA,33
court,yesterday,The Sun (1837-),NA,32
industrial,school,The Sun (1837-),NA,32
police,station,The Sun (1837-),NA,32
colored,people,Afro-American (1893-),NA,31
cottage,master,The Sun (1837-),NA,31
divorcing,plaintiff,The Sun (1837-),NA,31
mem,bers,The Sun (1837-),NA,31
gov,ernor,The Sun (1837-),NA,30
presi,dent,The Sun (1837-),NA,30
superin,tendent,The Sun (1837-),NA,30
yesterday,afternoon,The Sun (1837-),NA,30
baltimore,county,The Sun (1837-),NA,29
charles,street,The Sun (1837-),NA,29
1,1,Afro-American (1893-),NA,28
baltimore,md,The Sun (1837-),NA,28
de,partment,The Sun (1837-),NA,28
1,1,The Sun (1837-),NA,27
baptist,church,Afro-American (1893-),NA,27
build,ings,The Sun (1837-),NA,27
chelten,ham,Afro-American (1893-),NA,27
security,unit,The Sun (1837-),NA,27
spring,grove,The Sun (1837-),NA,27
baltimore,city,Afro-American (1893-),NA,26
broom,factory,Afro-American (1893-),NA,26
depart,ment,The Sun (1837-),NA,26
teachers,college,The Sun (1837-),NA,26
1,judge,The Sun (1837-),NA,25
enoch,pratt,The Sun (1837-),NA,25
negro,boy,The Sun (1837-),NA,25
reforma,tion,The Sun (1837-),NA,25
saturday,judge,The Sun (1837-),NA,25
urban,league,Afro-American (1893-),NA,25
yesterday,morning,The Sun (1837-),NA,25
anne,arundel,The Sun (1837-),NA,24
bal,timore,The Sun (1837-),NA,24
judge,dennis,The Sun (1837-),NA,24
supreme,bench,The Sun (1837-),NA,24
trust,company,The Sun (1837-),NA,24
bertram,lippincott,Afro-American (1893-),TAD,23
cheltenham,md,The Sun (1837-),NA,23
childs,drexel,Afro-American (1893-),TAD,23
city,court,The Sun (1837-),NA,23
city,jail,The Sun (1837-),NA,23
edward,browning,Afro-American (1893-),TAD,23
edward,hopkinson,Afro-American (1893-),TAD,23
fulton,kurtz,Afro-American (1893-),TAD,23
george,brooke,Afro-American (1893-),TAD,23
george,norris,Afro-American (1893-),TAD,23
grand,jury,The Sun (1837-),Reported for the Baltimore Sun,23
hopkinson,jr,Afro-American (1893-),TAD,23
howard,pew,Afro-American (1893-),TAD,23
jim,crow,Afro-American (1893-),NA,23
john,gribbel,Afro-American (1893-),TAD,23
john,thompson,Afro-American (1893-),TAD,23
john,wintersteen,Afro-American (1893-),TAD,23
joseph,wayne,Afro-American (1893-),TAD,23
mcfadden,jr,Afro-American (1893-),TAD,23
smith,jr,Afro-American (1893-),TAD,23
state's,attorney,The Sun (1837-),NA,23
sun,sir,The Sun (1837-),NA,23
superior,court,The Sun (1837-),NA,23
thompson,spencer,Afro-American (1893-),TAD,23
train,ing,The Sun (1837-),NA,23
wayne,jr,Afro-American (1893-),TAD,23
william,fulton,Afro-American (1893-),TAD,23
william,weightman,Afro-American (1893-),TAD,23
william,wood,Afro-American (1893-),TAD,23
cherry,hill,The Sun (1837-),NA,22
edward,stabler,The Sun (1837-),NA,22
governor,ritchie,The Sun (1837-),NA,22
judge,adams,The Sun (1837-),NA,22
judge,solter,The Sun (1837-),NA,22
mclean,jr,Afro-American (1893-),TAD,22
orphans,court,The Sun (1837-),NA,22
prince,georges,Afro-American (1893-),NA,22
st,paul,The Sun (1837-),NA,22
stabler,jr,The Sun (1837-),NA,22
thomas,newhall,Afro-American (1893-),TAD,22
cheltenham,reform,Afro-American (1893-),NA,21
commis,sioner,The Sun (1837-),NA,21
eastern,shore,The Sun (1837-),NA,21
insti,tution,Afro-American (1893-),NA,21
mary's,industrial,The Sun (1837-),NA,21
reform,school,The Sun (1837-),NA,21
relay,race,The Sun (1837-),Special Dispatch to the Baltimore Sun,21
training,school,Afro-American (1893-),NA,21
al,exrs,The Sun (1837-),NA,20
cheltenham,reformatory,The Sun (1837-),NA,20
chief,judge,The Sun (1837-),NA,20
georges,county,Afro-American (1893-),NA,20
grand,jurors,The Sun (1837-),NA,20
judge,smith,The Sun (1837-),NA,20
juvenile,delinquents,The Sun (1837-),NA,20
prisoners,aid,The Sun (1837-),NA,20
provident,hospital,Afro-American (1893-),NA,20
sun,baltimore,The Sun (1837-),NA,20
sunday,sun,The Sun (1837-),NA,20
atlantic,city,The Sun (1837-),NA,19
cheltenham,md,Afro-American (1893-),NA,19
chil,dren,The Sun (1837-),NA,19
enoch,harlan,The Sun (1837-),NA,19
fine,arts,Afro-American (1893-),NA,19
habeas,corpus,The Sun (1837-),NA,19
hopkins,university,The Sun (1837-),NA,19
judge,niles,The Sun (1837-),NA,19
judge,samuel,The Sun (1837-),NA,19
judge,walter,The Sun (1837-),NA,19
passed,estates,The Sun (1837-),NA,19
public,schools,The Sun (1837-),NA,19
street,baltimore,Afro-American (1893-),NA,19
column,2,The Sun (1837-),NA,18
common,pleas,The Sun (1837-),NA,18
delinquent,negro,The Sun (1837-),NA,18
dr,george,The Sun (1837-),NA,18
fayette,street,The Sun (1837-),NA,18
ham,school,The Sun (1837-),NA,18
health,department,The Sun (1837-),NA,18
judge,george,The Sun (1837-),NA,18
judge,o'dunne,The Sun (1837-),NA,18
loch,raven,The Sun (1837-),NA,18
methodist,episcopal,The Sun (1837-),NA,18
miss,annie,The Sun (1837-),NA,18
morgan,college,Afro-American (1893-),NA,18
negro,youths,The Sun (1837-),NA,18
pay,roll,The Sun (1837-),NA,18
penal,institutions,The Sun (1837-),NA,18
police,station,Afro-American (1893-),NA,18
tenham,school,The Sun (1837-),NA,18
city,college,The Sun (1837-),NA,17
colored,boy,The Sun (1837-),NA,17
court,calendar,The Sun (1837-),NA,17
educa,tion,The Sun (1837-),NA,17
em,ployes,The Sun (1837-),NA,17
employment,commis,The Sun (1837-),NA,17
hos,pital,The Sun (1837-),NA,17
institu,tion,Afro-American (1893-),NA,17
institu,tions,The Sun (1837-),NA,17
judge,albert,The Sun (1837-),NA,17
judge,allan,The Sun (1837-),NA,17
judge,eugene,The Sun (1837-),NA,17
june,30,The Sun (1837-),NA,17
marlboro,md,The Sun (1837-),NA,17
meet,ing,The Sun (1837-),NA,17
negro,board,The Sun (1837-),NA,17
park,avenue,The Sun (1837-),NA,17
parole,officer,The Sun (1837-),NA,17
police,court,The Sun (1837-),NA,17
pro,gram,The Sun (1837-),NA,17
southern,maryland,The Sun (1837-),NA,17
super,intendent,The Sun (1837-),NA,17
weeks,ago,The Sun (1837-),NA,17
wel,fare,The Sun (1837-),NA,17
wil,liam,The Sun (1837-),NA,17
york,city,Afro-American (1893-),NA,17
accounts,passed,The Sun (1837-),NA,16
aid,society,The Sun (1837-),NA,16
allan,mclane,The Sun (1837-),NA,16
assistant,superintendent,The Sun (1837-),NA,16
bond,issue,The Sun (1837-),NA,16
calendar,criminal,The Sun (1837-),NA,16
cheltenham,reformatory,Afro-American (1893-),NA,16
child,welfare,The Sun (1837-),NA,16
civil,service,The Sun (1837-),NA,16
colored,children,Afro-American (1893-),NA,16
colored,children,The Sun (1837-),NA,16
con,struction,The Sun (1837-),NA,16
days,ago,The Sun (1837-),NA,16
dis,trict,The Sun (1837-),NA,16
dr,isaac,The Sun (1837-),NA,16
employ,ment,The Sun (1837-),NA,16
eugene,o’dunne,The Sun (1837-),NA,16
forest,park,The Sun (1837-),NA,16
frank,driscoll,The Sun (1837-),NA,16
georges,county,The Sun (1837-),NA,16
granted,estates,The Sun (1837-),NA,16
ing,school,The Sun (1837-),NA,16
insti,tutions,The Sun (1837-),NA,16
judge,john,The Sun (1837-),NA,16
judge,thomas,The Sun (1837-),NA,16
judge,waxter,Afro-American (1893-),NA,16
judge,williams,The Sun (1837-),NA,16
juvenile,delinquency,The Sun (1837-),NA,16
late,editions,Afro-American (1893-),NA,16
morfit,mullen,The Sun (1837-),NA,16
planning,commission,The Sun (1837-),NA,16
police,department,The Sun (1837-),NA,16
prince,georges,The Sun (1837-),NA,16
reforma,tory,The Sun (1837-),NA,16
wash,ington,The Sun (1837-),NA,16
3,proceedings,The Sun (1837-),NA,15
alleged,personal,The Sun (1837-),NA,15
ave,nue,Afro-American (1893-),NA,15
build,ing,The Sun (1837-),NA,15
california,united,The Sun (1837-),NA,15
defective,negro,The Sun (1837-),NA,15
deweese,carter,The Sun (1837-),NA,15
dr,spencer,The Sun (1837-),"Parks, Grace S",15
gob,humor,The Sun (1837-),NA,15
heat,won,The Sun (1837-),Special Dispatch to the Baltimore Sun,15
judge,dickerson,The Sun (1837-),NA,15
judge,sayler,The Sun (1837-),NA,15
jury,report,The Sun (1837-),NA,15
penal,institution,The Sun (1837-),NA,15
pres,ent,The Sun (1837-),NA,15
recom,mended,The Sun (1837-),NA,15
roads,commission,The Sun (1837-),NA,15
south,baltimore,The Sun (1837-),NA,15
special,dispatch,The Sun (1837-),Special Dispatch to the Baltimore Sun,15
st,louis,The Sun (1837-),NA,15
50,cents,The Sun (1837-),NA,14
addi,tional,The Sun (1837-),NA,14
announced,yesterday,The Sun (1837-),NA,14
annual,meeting,The Sun (1837-),NA,14
arundel,county,The Sun (1837-),NA,14
baltimore,sun,The Sun (1837-),Special Dispatch to the Baltimore Sun,14
city,charities,The Sun (1837-),NA,14
city,council,Afro-American (1893-),NA,14
col,lege,The Sun (1837-),NA,14
colored,girls,Afro-American (1893-),NA,14
commis,sion,The Sun (1837-),NA,14
condi,tions,The Sun (1837-),NA,14
executive,secretary,The Sun (1837-),NA,14
foster,homes,The Sun (1837-),NA,14
funeral,services,The Sun (1837-),NA,14
instituted,divorces,The Sun (1837-),NA,14
july,1,The Sun (1837-),NA,14
maryland,house,Afro-American (1893-),NA,14
mayor,broening,The Sun (1837-),"O'Donnell, Louis J",14
miss,annie,The Sun (1837-),Special from a Staff Correspondent,14
naval,academy,The Sun (1837-),NA,14
ored,boys,The Sun (1837-),NA,14
princess,anne,Afro-American (1893-),NA,14
school,board,The Sun (1837-),NA,14
sunday,school,The Sun (1837-),NA,14
term,grand,The Sun (1837-),NA,14
univer,sity,The Sun (1837-),NA,14
vinculo,matrimonii,The Sun (1837-),NA,14
washington,county,The Sun (1837-),NA,14
30,days,The Sun (1837-),NA,13
acting,superintendent,The Sun (1837-),NA,13
aid,association,The Sun (1837-),NA,13
appro,priation,The Sun (1837-),NA,13
boys,cheltenham,The Sun (1837-),NA,13
catholic,church,The Sun (1837-),NA,13
column,3,The Sun (1837-),NA,13
delin,quents,The Sun (1837-),NA,13
dr,george,Afro-American (1893-),NA,13
dr,preston,The Sun (1837-),NA,13
druid,hill,Afro-American (1893-),NA,13
eligible,list,The Sun (1837-),NA,13
grand,juries,Afro-American (1893-),NA,13
hos,pital,Afro-American (1893-),NA,13
improve,ments,The Sun (1837-),NA,13
injuries,claim,The Sun (1837-),NA,13
jury,report,Afro-American (1893-),NA,13
legis,lature,The Sun (1837-),NA,13
legislative,council,The Sun (1837-),NA,13
manual,training,The Sun (1837-),NA,13
mary,land,Afro-American (1893-),NA,13
mary's,county,The Sun (1837-),NA,13
minded,children,The Sun (1837-),NA,13
motor,vehicles,The Sun (1837-),NA,13
normal,school,Afro-American (1893-),NA,13
north,charles,The Sun (1837-),NA,13
park,heights,The Sun (1837-),NA,13
posi,tion,The Sun (1837-),NA,13
