"pubtitle","year","total"
"Afro_American",1898,2
"Afro_American",1899,2
"Afro_American",1901,2
"Afro_American",1902,6
"Afro_American",1903,4
"Afro_American",1905,1
"Afro_American",1907,1
"Afro_American",1910,1
"Afro_American",1912,2
"Afro_American",1914,2
"Afro_American",1917,1
"Afro_American",1918,2
"Afro_American",1919,4
"Afro_American",1920,2
"Afro_American",1921,3
"Afro_American",1922,2
"Afro_American",1923,13
"Afro_American",1924,10
"Afro_American",1925,12
"Afro_American",1926,10
"Afro_American",1927,20
"Afro_American",1928,12
"Afro_American",1929,14
"Afro_American",1930,29
"Afro_American",1931,6
"Afro_American",1932,22
"Afro_American",1933,17
"Afro_American",1934,22
"Afro_American",1935,15
"Afro_American",1936,12
"Afro_American",1937,5
"Afro_American",1938,3
"Afro_American",1939,7
"Afro_American",1940,10
"Afro_American",1941,15
"Afro_American",1942,7
"Afro_American",1943,16
"Afro_American",1944,5
"The_Sun",1872,1
"The_Sun",1874,1
"The_Sun",1875,1
"The_Sun",1876,4
"The_Sun",1877,5
"The_Sun",1878,4
"The_Sun",1879,1
"The_Sun",1880,9
"The_Sun",1882,1
"The_Sun",1883,1
"The_Sun",1884,2
"The_Sun",1885,4
"The_Sun",1886,2
"The_Sun",1887,9
"The_Sun",1888,6
"The_Sun",1889,4
"The_Sun",1890,3
"The_Sun",1891,4
"The_Sun",1892,2
"The_Sun",1893,5
"The_Sun",1894,4
"The_Sun",1895,4
"The_Sun",1896,5
"The_Sun",1897,5
"The_Sun",1898,13
"The_Sun",1899,8
"The_Sun",1900,6
"The_Sun",1901,15
"The_Sun",1902,16
"The_Sun",1903,8
"The_Sun",1904,9
"The_Sun",1905,12
"The_Sun",1906,9
"The_Sun",1907,5
"The_Sun",1908,7
"The_Sun",1909,4
"The_Sun",1910,7
"The_Sun",1911,11
"The_Sun",1912,7
"The_Sun",1913,9
"The_Sun",1914,10
"The_Sun",1915,8
"The_Sun",1916,1
"The_Sun",1917,3
"The_Sun",1918,1
"The_Sun",1919,4
"The_Sun",1920,3
"The_Sun",1921,3
"The_Sun",1922,1
"The_Sun",1923,9
"The_Sun",1924,3
"The_Sun",1925,6
"The_Sun",1926,2
"The_Sun",1927,8
"The_Sun",1928,8
"The_Sun",1929,6
"The_Sun",1930,4
"The_Sun",1931,5
"The_Sun",1932,1
"The_Sun",1934,4
"The_Sun",1935,19
"The_Sun",1936,13
"The_Sun",1937,13
"The_Sun",1938,47
"The_Sun",1939,25
"The_Sun",1940,25
"The_Sun",1941,25
"The_Sun",1942,6
"The_Sun",1943,27
"The_Sun",1944,36
"The_Sun",1945,29
"The_Sun",1946,27
"The_Sun",1947,38
"The_Sun",1948,38
"The_Sun",1949,20
