Category_Number	Category_Name	Subcategory
1	PLACE_OF_DEATH	County::
1	PLACE_OF_DEATH	Registration_Dist_No::
1	PLACE_OF_DEATH	Village_or_City::
1	PLACE_OF_DEATH	No::
1	PLACE_OF_DEATH	St::
1	PLACE_OF_DEATH	Ward::
1	PLACE_OF_DEATH	Length_of_residence_in_city_or_town_where_death_occurred::
7	PLACE_OF_DEATH	Length_of_Residence_in_city__town_where_death_occurred_years::
7	PLACE_OF_DEATH	Length_of_Residence_in_city__town_where_death_occurred_months::
7	PLACE_OF_DEATH	Length_of_Residence_in_city__town_where_death_occurred_days::
2	FULL_NAME	::
2	FULL_NAME	If_US_Veteran_specify_WAR::
2	FULL_NAME	(a)_Residence_No::
2	FULL_NAME	St::
2	FULL_NAME	Ward::
2	FULL_NAME	If_nonresident_enter_city_or_town_and_State::
3	SEX	::
4	COLOR_OR_RACE	::
5	SINGLE_MARRIED_WIDOWED_DIVORCED_	::
5a	If_married_widowed_or_divorded_Husband_of_or_Wife_of	::
6	DATE_OF_BIRTH_(month_day_and_year)	::
7	AGE	Years::
7	AGE	Months::
7	AGE	Days::
7	AGE	IF_LESS_than_1_dayhrsmin::
8	Trade_profession_or_particular_kind_of_work_done	::
9	Industry_or_business_in_which_work_was_done_	::
10	Date_deceased_last_worked_at_this_occupation	::
11	Total_time_(years)_spent_in_this_occupation	::
12	BIRTHPLACE_	(city_or_town)::
12	BIRTHPLACE_	(State_or_country)::
13	FATHER__NAME	::
14	FATHER__BIRTHPLACE	_(city_or_town)::
14	FATHER__BIRTHPLACE	(State_or_country)::
15	MOTHER__MAIDEN_NAME	::
16	MOTHER_BIRTHPLACE_	(city_or_town)::
16	MOTHER__BIRTHPLACE_	(State_or_country)::
17	INFORMANT	::
17	INFORMANT	(Address)::
18	BURIAL_CREMATION_OR_REMOVAL	::
18	BURIAL_CREMATION_OR_REMOVAL	Place::
18	BURIAL_CREMATION_OR_REMOVAL	Date::
19	UNDERTAKER	::
19	UNDERTAKER	(Address)::
20	FILED	::
21	DATE_OF_DEATH	Month::
21	DATE_OF_DEATH	Day::
21	DATE_OF_DEATH	Year::
22	CERTIFICATION	I_HEREBY_CERTIFY_That_I_attended_deceased_from::
22	CERTIFICATION	I_last_saw_himalive_on::
22	CERTIFICATION	to_have_occurred_on_the_date_stated_above_at::
22	CERTIFICATION	The_PRINCIPAL_CAUSE_OF_DEATH_and_related_causes_of_importance_were_as_follows::
22	CERTIFICATION	Date_of_onset::
22	CERTIFICATION	Other_Contributory_Causes_of_Importance::
23	CERTIFICATION	Name_of_operation::
23	CERTIFICATION	Date_of::
23	CERTIFICATION	What_test_confirmed_diagnosis?::
23	CERTIFICATION	Was_there_an_autopsy?::
23	EXTERNAL_CAUSES	If_death_was_due_to_external_causes_(VIOLENCE)_fill_in_also_the_following::
23	EXTERNAL_CAUSES	Accident_suicide_or_homicide?::
23	EXTERNAL_CAUSES	Date_of_injury19::
23	EXTERNAL_CAUSES	Where_did_injury_occur?::
23	EXTERNAL_CAUSES	Specify_city_or_town_county_and_State::
23	LOCATION_OF_DEATH	Specify_whether_injury_occurred_in_INDUSTRY_in_HOME_or_in_PUBLIC_PLACE::
23	LOCATION_OF_DEATH	Manner_of_injury::
23	LOCATION_OF_DEATH	Nature_of_injury::
24	OCCUPATION_RELATION	Was_disease_or_injury_in_any_way_related_to_occupation_of_deceased?::
24	OCCUPATION_RELATION	If_so_specify::
24	OCCUPATION_RELATION	Signed::
24	OCCUPATION_RELATION	(Address)::
