original_field,mapped_field,count,sample_files
17 I HEREBY CERTIFY,17 I HEREBY CERTIFY,103,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
18 LENGTH OF RESIDENCE (FOR HOSPITALS,18 LENGTH OF RESIDENCE (FOR HOSPITALS,50,"Corry, Raymond.txt; Dickerson, Ira.txt; Dorsey, Henry.txt"
Registration Dist. No.,PLACE_OF_DEATH_Registration_Dist_No,48,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Ashton, Ernest.txt"
3 SEX,SEX,34,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
4 COLOR OR RACE,COLOR_OR_RACE,34,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
10 NAME OF FATHER,FATHER__NAME,33,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
12 MAIDEN NAME OF MOTHER,MOTHER__MAIDEN_NAME,33,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
19 PLACE OF BURIAL OR REMOVAL,BURIAL_CREMATION_OR_REMOVAL_Place,33,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
9 BIRTHPLACE (State or country),BIRTHPLACE__(State_or_country),33,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
11 BIRTHPLACE OF FATHER (State or country),11 BIRTHPLACE OF FATHER (State or country),32,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
20 UNDERTAKER,20 UNDERTAKER,32,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
13 BIRTHPLACE OF MOTHER (State or country),13 BIRTHPLACE OF MOTHER (State or country),31,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
2 FULL NAME,FULL_NAME,31,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
5 SINGLE,5 SINGLE,28,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
I HEREBY CERTIFY,I HEREBY CERTIFY,24,"Barnes, Joseph.txt; Chinn, Purnell.txt; Cook, Roger.txt"
Village or City,Village or City,23,"Barnes, Joseph.txt; Booze Jr, William.txt; Carter, William Arthur.txt"
8 OCCUPATION (a) Trade,Trade_profession_or_particular_kind_of_work_done,22,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
1 PLACE OF DEATH County,PLACE_OF_DEATH_County,21,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
14 THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE (Address),14 THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE (Address),21,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
14 THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE (Informant),INFORMANT,21,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
