"","bigram","n","pubtitle"
"1","cheltenham   school",332,"The_Sun"
"2","cheltenham   school",59,"Afro_American"
"3","grand   jury",261,"The_Sun"
"4","grand   jury",112,"Afro_American"
"5","colored   boys",240,"The_Sun"
"6","colored   boys",89,"Afro_American"
"7","training   school",254,"The_Sun"
"8","training   school",24,"Afro_American"
"9","receiving   stolen",178,"The_Sun"
"10","receiving   stolen",2,"Afro_American"
"11","juvenile   court",80,"The_Sun"
"12","juvenile   court",74,"Afro_American"
"13","baltimore   city",116,"The_Sun"
"14","baltimore   city",34,"Afro_American"
"15","negro   boys",137,"The_Sun"
"16","negro   boys",2,"Afro_American"
"17","prince   george's",130,"The_Sun"
"18","prince   george's",8,"Afro_American"
"19","maryland   training",123,"The_Sun"
"20","maryland   training",12,"Afro_American"
